Age,Experience,Income,Family,CCAvg,Education,Mortgage,Personal_Loan,Securities_Account,CD_Account,Online,CreditCard,CCAvg_to_Income,Income_Group
35,10,29,4,1.1,3,0,0,0,0,1,0,0.0379,Low
43,19,34,3,0.6,2,0,0,0,0,0,0,0.0176,Low
60,34,64,2,1.7,3,236,0,1,0,1,0,0.0266,Medium
65,39,121,1,2.0,1,0,0,0,0,0,0,0.0165,High
38,12,48,4,0.2,3,0,0,0,0,1,0,0.0042,Medium
41,15,80,1,5.2,1,0,0,0,0,0,0,0.065,Medium
54,28,161,1,2.9,1,0,0,0,0,1,0,0.018,Very_High
49,23,94,1,0.3,1,0,0,0,0,1,0,0.0032,High
66,41,15,3,0.1,3,0,0,0,0,1,0,0.0067,Low
48,23,74,1,1.2,1,0,0,0,0,1,0,0.0162,Medium
61,36,30,3,1.3,2,0,0,0,0,0,0,0.0433,Low
53,23,44,3,1.0,3,198,0,0,0,1,1,0.0227,Medium
43,18,22,2,0.3,2,0,0,0,0,1,0,0.0136,Low
56,32,38,4,1.3,1,166,0,0,0,1,1,0.0342,Low
24,0,35,3,0.1,2,0,0,1,0,1,0,0.0029,Low
43,17,69,4,2.9,1,0,0,0,0,1,1,0.042,Medium
42,18,43,1,0.7,1,136,0,0,0,0,0,0.0163,Medium
33,7,32,1,0.6,3,166,0,0,0,1,0,0.0188,Low
43,17,49,1,2.8,1,0,0,0,0,1,0,0.0571,Medium
41,14,9,3,1.0,2,0,0,0,0,0,0,0.1111,Low
62,38,45,4,1.3,2,0,0,0,0,1,0,0.0289,Medium
40,15,82,3,1.0,1,309,0,0,0,0,0,0.0122,High
58,34,92,2,2.8,1,103,0,0,0,0,0,0.0304,High
39,14,39,3,0.5,3,0,0,0,0,1,0,0.0128,Low
65,40,81,3,1.8,2,0,0,0,0,1,0,0.0222,High
54,29,35,1,1.5,2,0,0,0,0,1,0,0.0429,Low
58,33,61,2,2.3,3,193,0,0,0,1,0,0.0377,Medium
41,16,73,3,3.0,1,0,0,0,0,1,0,0.0411,Medium
32,7,112,1,4.6,1,366,0,0,0,0,0,0.0411,High
54,29,12,2,0.2,3,0,0,0,0,1,0,0.0167,Low
52,26,38,3,0.9,3,0,0,0,0,1,0,0.0237,Low
58,32,73,2,0.7,2,0,0,0,0,1,1,0.0096,Medium
37,13,84,1,3.6,2,0,0,1,0,0,0,0.0429,High
39,15,78,4,2.4,1,118,0,0,0,1,0,0.0308,Medium
60,35,80,3,0.5,1,0,0,0,0,1,0,0.0062,Medium
31,5,115,2,1.3,1,101,0,0,0,1,1,0.0113,High
34,8,82,1,2.7,2,251,0,0,0,1,0,0.0329,High
38,14,74,2,0.0,1,0,0,1,0,1,0,0.0,Medium
41,16,70,3,0.5,3,0,0,0,0,0,1,0.0071,Medium
28,4,81,3,1.5,1,276,0,0,0,1,0,0.0185,High
58,34,149,4,7.2,2,0,1,0,1,1,1,0.0483,Very_High
31,1,51,2,1.75,3,0,0,0,0,0,0,0.0343,Medium
30,4,39,3,1.1,2,0,0,0,0,1,0,0.0282,Low
53,29,98,3,1.8,2,0,0,0,0,0,0,0.0184,High
58,33,45,4,2.1,1,0,0,0,0,1,1,0.0467,Medium
59,32,49,4,2.5,2,0,0,0,0,1,0,0.051,Medium
49,25,128,2,0.4,1,0,0,0,0,0,0,0.0031,High
59,34,42,3,1.5,1,0,0,1,1,0,1,0.0357,Medium
59,35,18,1,1.2,3,0,0,0,0,1,0,0.0667,Low
51,25,31,2,0.4,3,161,0,0,0,1,1,0.0129,Low
35,11,58,3,2.0,1,149,0,0,0,1,1,0.0345,Medium
33,9,48,1,2.1,3,0,0,0,0,0,1,0.0438,Medium
25,1,54,4,1.6,1,0,0,0,0,1,1,0.0296,Medium
49,23,70,2,1.5,2,0,0,0,0,0,0,0.0214,Medium
59,35,124,1,7.4,1,0,0,0,0,0,1,0.0597,High
46,19,84,1,2.67,2,0,0,0,0,1,1,0.0318,High
50,25,83,4,3.6,3,188,0,0,0,1,0,0.0434,High
52,28,163,2,0.4,1,116,0,0,0,1,0,0.0025,Very_High
48,22,42,3,2.2,2,0,0,0,0,0,0,0.0524,Medium
46,22,118,2,7.5,1,0,0,0,1,1,1,0.0636,High
26,0,132,3,6.5,3,0,1,0,0,0,1,0.0492,Very_High
57,32,24,1,1.3,1,0,0,0,0,1,1,0.0542,Low
60,36,22,2,1.0,1,0,0,1,1,1,1,0.0455,Low
54,29,58,4,1.3,3,0,0,0,0,0,0,0.0224,Medium
24,0,60,4,1.6,1,0,0,0,0,1,0,0.0267,Medium
26,0,15,4,0.4,1,0,0,0,0,0,1,0.0267,Low
41,17,83,4,2.67,1,0,0,0,0,1,1,0.0322,High
32,6,79,2,1.5,3,0,0,0,0,1,1,0.019,Medium
61,35,41,4,1.7,2,0,0,1,0,1,0,0.0415,Medium
29,0,134,4,6.5,3,0,1,0,0,0,0,0.0485,Very_High
61,35,80,2,2.8,1,0,0,0,0,1,0,0.035,Medium
38,12,52,1,2.0,1,0,0,0,0,0,0,0.0385,Medium
28,4,70,4,2.6,1,0,0,0,0,1,0,0.0371,Medium
53,27,92,2,1.1,1,0,0,1,0,0,0,0.012,High
27,1,43,1,1.5,1,0,0,0,0,1,0,0.0349,Medium
25,1,21,3,1.0,2,0,0,0,0,0,0,0.0476,Low
33,9,23,3,0.9,3,0,0,0,0,1,1,0.0391,Low
50,26,13,4,1.0,1,0,0,0,0,1,0,0.0769,Low
27,1,112,4,2.1,3,0,0,0,0,0,1,0.0188,High
27,1,138,2,2.0,1,0,0,0,0,1,0,0.0145,Very_High
52,28,11,3,0.4,1,0,0,1,0,0,0,0.0364,Low
38,13,171,2,7.8,1,0,0,0,0,1,0,0.0456,Very_High
58,34,42,4,1.5,1,0,0,0,0,1,1,0.0357,Medium
42,17,168,2,7.9,2,0,1,0,0,1,0,0.047,Very_High
45,20,85,4,1.1,2,0,0,1,0,1,0,0.0129,High
52,25,44,3,1.0,2,135,0,0,0,1,0,0.0227,Medium
29,3,65,4,1.8,2,244,0,0,0,0,0,0.0277,Medium
53,29,24,4,0.2,1,0,0,0,0,1,1,0.0083,Low
62,37,11,1,0.1,1,0,0,0,0,1,0,0.0091,Low
51,27,38,2,1.0,3,164,0,0,0,1,0,0.0263,Low
36,12,10,4,0.7,2,81,0,0,0,0,0,0.07,Low
24,0,135,1,1.5,1,0,0,0,0,1,0,0.0111,Very_High
29,3,148,3,4.1,1,0,1,0,0,1,0,0.0277,Very_High
52,26,63,2,1.5,2,0,0,1,0,1,0,0.0238,Medium
39,14,115,1,1.0,3,0,0,0,0,1,0,0.0087,High
48,23,45,1,0.3,1,0,0,0,0,1,1,0.0067,Medium
46,21,159,3,1.9,3,315,1,0,0,1,0,0.0119,Very_High
64,40,169,2,2.1,1,122,0,0,0,1,0,0.0124,Very_High
55,29,112,2,1.4,1,0,0,0,0,1,0,0.0125,High
60,36,93,1,4.3,1,0,0,0,0,1,0,0.0462,High
51,25,29,1,0.3,3,140,0,0,0,0,0,0.0103,Low
50,23,85,1,2.67,2,0,0,0,0,1,0,0.0314,High
48,24,21,4,0.6,1,0,0,0,0,1,1,0.0286,Low
53,29,144,2,6.8,1,0,0,0,0,1,0,0.0472,Very_High
34,10,13,4,1.0,1,95,0,1,0,1,0,0.0769,Low
48,24,165,1,5.0,1,0,0,0,0,0,1,0.0303,Very_High
55,31,9,4,0.7,1,89,0,0,0,1,0,0.0778,Low
27,3,59,4,0.0,1,90,0,1,0,1,0,0.0,Medium
36,11,158,1,5.1,3,0,1,0,1,1,1,0.0323,Very_High
32,6,29,1,1.9,3,0,0,0,0,1,1,0.0655,Low
35,9,20,2,1.4,3,0,0,0,0,1,1,0.07,Low
30,3,68,4,2.0,2,0,0,0,0,1,0,0.0294,Medium
58,34,65,4,2.2,1,0,0,0,0,1,0,0.0338,Medium
56,31,61,2,1.9,2,105,0,0,0,0,0,0.0311,Medium
38,12,91,4,1.4,2,100,0,0,0,0,1,0.0154,High
49,25,31,1,1.0,1,0,0,1,0,1,0,0.0323,Low
34,10,71,4,0.1,2,0,0,0,0,0,0,0.0014,Medium
40,16,73,4,2.67,1,0,0,0,0,1,1,0.0366,Medium
64,39,172,4,3.1,1,282,1,0,1,1,1,0.018,Very_High
51,26,20,2,0.0,1,0,0,0,0,0,0,0.0,Low
44,18,55,1,0.2,1,0,0,0,0,0,0,0.0036,Medium
46,22,69,2,1.7,1,209,0,0,0,0,0,0.0246,Medium
57,33,155,1,7.4,1,0,0,0,0,1,0,0.0477,Very_High
54,28,94,1,1.9,2,0,0,0,0,0,0,0.0202,High
38,14,92,2,0.0,1,249,0,0,0,1,1,0.0,High
27,3,125,2,0.6,1,0,0,0,0,0,0,0.0048,High
39,14,74,3,3.0,1,0,0,0,0,0,0,0.0405,Medium
44,20,72,3,0.3,3,0,0,0,0,1,0,0.0042,Medium
56,30,61,1,2.2,3,0,0,0,0,1,1,0.0361,Medium
32,6,25,2,0.3,1,0,0,0,0,0,1,0.012,Low
45,19,83,2,1.7,2,0,0,0,0,1,0,0.0205,High
26,2,104,3,2.5,1,0,0,0,0,0,0,0.024,High
55,25,41,3,1.0,3,0,0,0,0,1,0,0.0244,Medium
52,27,58,4,1.8,3,91,0,0,0,0,0,0.031,Medium
39,13,93,1,1.5,3,0,0,0,0,0,1,0.0161,High
24,0,39,2,1.7,2,0,0,0,0,0,0,0.0436,Low
47,23,148,2,7.5,1,0,0,0,1,1,1,0.0507,Very_High
47,22,53,4,1.9,3,98,0,1,1,0,1,0.0358,Medium
48,24,71,2,1.7,1,145,0,0,0,0,1,0.0239,Medium
47,22,92,1,2.8,2,0,0,0,0,1,0,0.0304,High
35,10,61,4,2.1,3,0,0,0,0,1,0,0.0344,Medium
46,19,38,3,2.5,2,135,0,0,0,0,0,0.0658,Low
62,37,58,4,1.7,1,0,0,0,0,1,0,0.0293,Medium
26,1,80,1,0.8,2,150,0,0,0,0,0,0.01,Medium
38,8,71,4,1.8,3,0,0,0,0,1,0,0.0254,Medium
43,18,89,3,0.5,3,0,0,0,0,1,1,0.0056,High
62,38,83,1,1.8,3,0,0,0,0,1,0,0.0217,High
57,32,28,3,0.2,1,0,0,0,0,1,1,0.0071,Low
28,3,52,4,1.7,2,0,0,0,0,0,0,0.0327,Medium
51,26,70,1,1.2,1,169,0,0,0,0,0,0.0171,Medium
48,22,71,1,1.4,3,0,0,0,0,0,1,0.0197,Medium
41,16,75,1,3.7,3,280,0,0,0,0,0,0.0493,Medium
65,39,170,3,7.9,3,99,1,0,1,1,0,0.0465,Very_High
41,17,78,4,0.8,1,78,0,0,0,1,0,0.0103,Medium
35,11,25,2,1.0,2,0,0,0,0,0,0,0.04,Low
38,14,60,2,0.6,3,0,0,0,0,1,1,0.01,Medium
53,29,120,4,2.7,2,111,1,1,1,1,0,0.0225,High
55,29,99,2,1.4,1,264,0,0,0,1,1,0.0141,High
26,1,55,3,2.6,3,113,0,0,0,0,1,0.0473,Medium
30,6,29,3,1.0,2,117,0,0,0,0,0,0.0345,Low
54,28,170,2,6.2,2,325,1,0,0,1,0,0.0365,Very_High
65,40,53,3,2.2,1,0,0,0,0,0,1,0.0415,Medium
47,21,138,1,0.0,1,0,0,0,0,0,0,0.0,Very_High
65,41,134,3,3.9,3,121,1,0,0,1,0,0.0291,Very_High
66,40,42,2,0.7,3,138,0,0,0,0,1,0.0167,Medium
26,0,99,4,2.3,3,0,0,0,0,0,1,0.0232,High
66,41,18,3,0.5,1,0,0,0,0,0,1,0.0278,Low
35,9,24,4,0.3,1,0,0,0,0,1,0,0.0125,Low
56,30,55,1,1.4,1,77,0,0,0,1,0,0.0255,Medium
51,27,58,1,0.0,1,0,0,0,0,0,1,0.0,Medium
42,16,111,2,1.2,3,251,1,0,0,1,0,0.0108,High
49,23,33,1,0.3,3,0,0,0,1,1,1,0.0091,Low
27,1,74,4,1.8,2,112,0,0,0,1,1,0.0243,Medium
45,19,38,2,0.7,1,0,0,0,0,0,0,0.0184,Low
49,23,23,4,0.6,3,98,0,1,0,0,0,0.0261,Low
63,38,61,2,1.5,1,0,0,0,0,1,0,0.0246,Medium
47,22,81,1,2.9,1,138,0,0,0,0,0,0.0358,High
64,39,129,1,2.5,1,0,0,0,0,1,0,0.0194,High
43,13,33,1,0.75,3,0,0,0,0,0,0,0.0227,Low
60,36,63,4,2.2,1,0,0,0,0,1,0,0.0349,Medium
40,14,70,4,1.4,2,0,0,0,0,1,0,0.02,Medium
29,3,45,4,0.2,1,158,0,0,0,1,1,0.0044,Medium
41,16,65,3,0.5,3,0,0,0,0,1,0,0.0077,Medium
30,5,74,4,2.2,1,0,0,1,0,0,1,0.0297,Medium
49,24,50,4,1.8,3,0,0,1,0,0,0,0.036,Medium
30,5,22,4,0.5,3,109,0,0,0,1,0,0.0227,Low
29,2,30,4,1.0,3,0,0,0,0,0,0,0.0333,Low
50,26,21,4,1.0,1,0,0,0,0,1,0,0.0476,Low
39,14,155,2,3.9,1,0,0,0,0,1,0,0.0252,Very_High
33,8,64,4,2.1,3,164,0,0,0,1,0,0.0328,Medium
57,31,65,4,2.6,3,0,0,0,0,0,1,0.04,Medium
34,9,71,4,0.7,3,0,0,0,0,1,0,0.0099,Medium
61,36,40,3,0.5,2,0,0,1,0,1,0,0.0125,Low
44,19,69,3,0.5,3,0,0,0,0,1,0,0.0072,Medium
40,13,69,3,2.33,2,0,0,0,0,0,0,0.0338,Medium
51,25,45,3,0.6,2,131,0,0,0,1,0,0.0133,Medium
37,12,62,3,0.7,2,0,0,0,0,0,1,0.0113,Medium
44,19,172,2,4.3,3,391,1,1,1,1,0,0.025,Very_High
42,15,24,3,1.0,2,0,0,0,0,1,1,0.0417,Low
51,25,80,1,4.9,1,0,0,0,0,0,0,0.0613,Medium
43,16,8,3,0.67,2,88,0,0,0,1,0,0.0838,Low
30,5,38,4,0.8,1,129,0,0,0,1,1,0.0211,Low
45,19,93,4,2.6,3,0,0,0,0,0,0,0.028,High
35,9,55,1,2.0,1,0,0,0,0,1,0,0.0364,Medium
60,34,64,2,1.7,3,0,0,0,0,0,1,0.0266,Medium
34,9,122,1,0.0,1,0,0,0,0,1,0,0.0,High
55,25,70,3,1.4,3,0,0,0,0,1,0,0.02,Medium
43,19,81,2,3.2,1,0,0,0,0,0,0,0.0395,High
41,15,159,1,5.5,3,0,1,0,1,1,0,0.0346,Very_High
34,9,70,4,1.3,1,0,0,1,0,0,0,0.0186,Medium
65,39,150,2,6.9,1,196,0,0,0,0,0,0.046,Very_High
45,21,152,2,7.5,1,0,0,0,0,1,0,0.0493,Very_High
49,25,195,4,3.0,1,617,1,0,0,0,0,0.0154,Very_High
48,23,22,1,0.1,1,0,0,0,0,0,0,0.0045,Low
60,35,22,1,1.3,1,123,0,0,0,1,0,0.0591,Low
55,29,79,3,0.8,1,0,0,0,0,1,1,0.0101,Medium
42,18,33,1,1.4,3,0,0,0,0,1,0,0.0424,Low
32,8,128,2,4.33,1,0,0,0,1,1,1,0.0338,High
62,38,91,1,3.8,1,0,0,1,0,1,0,0.0418,High
57,32,39,4,0.9,1,0,0,0,0,1,1,0.0231,Low
52,26,121,1,7.3,1,167,0,0,0,1,0,0.0603,High
36,6,21,1,0.67,3,0,0,1,0,1,0,0.0319,Low
34,9,41,3,2.3,1,0,0,0,0,0,1,0.0561,Medium
63,37,45,2,0.7,3,0,0,0,0,1,0,0.0156,Medium
24,0,51,3,0.3,3,0,0,0,0,1,0,0.0059,Medium
57,31,165,1,1.6,2,0,1,0,0,1,0,0.0097,Very_High
40,16,119,2,4.2,2,0,1,0,0,1,0,0.0353,High
27,2,110,4,1.8,3,190,0,0,0,1,0,0.0164,High
65,39,20,3,0.7,2,0,0,0,0,0,1,0.035,Low
60,34,64,1,0.8,2,248,0,0,0,0,0,0.0125,Medium
44,20,101,3,4.4,2,82,1,0,0,0,0,0.0436,High
63,39,101,1,3.9,1,0,1,1,1,1,0,0.0386,High
59,34,99,1,4.4,1,0,1,0,0,0,0,0.0444,High
56,30,158,4,6.1,1,0,1,0,0,0,0,0.0386,Very_High
54,28,89,1,1.9,2,0,0,0,0,1,1,0.0213,High
52,27,80,1,1.3,3,0,0,0,1,1,1,0.0162,Medium
58,32,114,2,2.0,1,402,0,0,0,1,0,0.0175,High
60,35,49,3,0.5,2,0,0,0,0,1,1,0.0102,Medium
28,4,191,1,6.33,1,0,0,0,0,1,0,0.0331,Very_High
54,30,78,4,1.0,2,0,0,0,0,1,0,0.0128,Medium
32,6,28,3,1.0,1,0,0,0,0,0,0,0.0357,Low
59,33,42,1,0.8,2,0,0,0,0,1,0,0.019,Medium
63,38,140,1,2.5,1,0,0,0,0,0,0,0.0179,Very_High
48,23,45,1,1.3,2,0,0,0,0,1,0,0.0289,Medium
56,32,122,2,0.3,1,360,0,0,1,1,1,0.0025,High
36,12,65,3,2.6,2,0,0,0,0,1,0,0.04,Medium
57,27,68,1,1.4,3,0,0,0,0,1,0,0.0206,Medium
29,3,153,2,2.0,1,392,0,0,0,0,0,0.0131,Very_High
39,13,89,4,1.4,2,0,0,0,0,0,0,0.0157,High
59,34,91,1,2.6,1,0,0,0,0,1,1,0.0286,High
31,6,55,4,2.0,2,185,0,0,0,1,0,0.0364,Medium
43,19,118,2,3.3,1,0,0,0,0,0,1,0.028,High
35,5,22,1,0.67,3,103,0,0,0,0,0,0.0305,Low
54,24,63,3,1.4,3,138,0,0,0,1,1,0.0222,Medium
51,27,12,4,0.5,2,78,0,1,0,1,0,0.0417,Low
44,19,50,3,2.7,2,0,0,0,0,1,0,0.054,Medium
25,0,43,2,1.6,3,0,0,1,1,1,1,0.0372,Medium
40,15,173,4,6.6,1,0,1,0,1,1,1,0.0382,Very_High
26,2,60,2,3.0,1,132,1,0,0,0,0,0.05,Medium
39,14,113,1,1.0,3,0,0,1,0,1,0,0.0088,High
28,4,155,4,5.3,2,0,1,0,0,1,0,0.0342,Very_High
52,28,91,4,1.0,2,0,0,0,0,0,1,0.011,High
53,29,55,4,1.1,2,0,0,0,0,1,0,0.02,Medium
44,20,173,2,1.4,1,419,0,0,0,1,0,0.0081,Very_High
43,19,71,3,0.3,3,0,0,0,0,0,1,0.0042,Medium
56,30,24,2,0.4,3,88,0,0,0,0,0,0.0167,Low
38,14,42,1,2.0,2,81,0,0,0,1,0,0.0476,Medium
30,6,141,2,4.33,1,0,0,0,0,1,0,0.0307,Very_High
32,6,32,1,1.9,3,0,0,0,0,1,0,0.0594,Low
35,10,55,4,1.3,1,0,0,0,0,0,0,0.0236,Medium
43,19,153,2,7.5,1,0,0,0,0,1,0,0.049,Very_High
58,32,113,2,1.4,1,270,0,0,0,0,1,0.0124,High
25,0,30,2,1.7,2,0,0,0,0,0,0,0.0567,Low
54,24,29,3,1.0,3,148,0,0,0,0,1,0.0345,Low
57,32,174,1,6.8,2,466,1,0,0,1,0,0.0391,Very_High
50,24,35,1,0.3,3,0,0,0,0,1,0,0.0086,Low
32,8,98,2,2.0,2,175,0,0,0,1,0,0.0204,High
63,37,30,2,1.0,3,159,0,0,0,1,0,0.0333,Low
31,6,58,2,2.5,1,0,0,0,0,0,1,0.0431,Medium
36,12,25,4,1.0,1,147,0,0,0,0,0,0.04,Low
58,34,19,4,0.7,1,0,0,0,0,0,0,0.0368,Low
56,30,44,4,0.7,2,174,0,0,0,1,0,0.0159,Medium
49,25,20,4,1.0,1,111,0,0,0,1,1,0.05,Low
30,5,98,2,3.1,1,220,0,0,0,1,0,0.0316,High
33,7,90,3,1.6,1,0,0,0,0,1,0,0.0178,High
45,21,61,3,0.7,1,0,0,0,0,0,0,0.0115,Medium
30,5,40,4,2.0,2,0,0,0,0,1,0,0.05,Low
47,23,38,2,2.1,3,0,0,0,0,0,0,0.0553,Low
25,0,28,2,1.7,2,0,0,0,0,0,0,0.0607,Low
63,33,34,1,1.5,3,0,0,0,0,1,1,0.0441,Low
55,29,73,2,2.3,3,0,0,0,0,1,1,0.0315,Medium
65,41,133,4,2.0,1,0,1,0,0,0,1,0.015,Very_High
44,18,53,1,0.2,1,0,0,0,0,1,0,0.0038,Medium
51,25,21,4,0.6,3,0,0,0,0,1,1,0.0286,Low
35,9,40,3,0.9,1,0,0,0,0,1,0,0.0225,Low
30,5,41,4,1.7,2,0,0,0,0,1,0,0.0415,Medium
31,5,82,4,1.8,2,0,0,0,0,1,0,0.022,High
54,30,100,4,3.4,3,0,1,0,0,0,0,0.034,High
45,20,155,1,7.0,1,0,0,0,0,1,1,0.0452,Very_High
45,19,45,1,0.2,1,0,0,0,0,1,0,0.0044,Medium
58,32,9,3,0.3,3,0,0,0,0,0,1,0.0333,Low
54,29,48,4,1.8,3,0,0,0,0,1,0,0.0375,Medium
53,28,18,4,0.1,3,109,0,1,1,1,1,0.0056,Low
33,9,80,4,3.4,1,0,0,0,0,1,1,0.0425,Medium
60,35,64,2,2.8,1,0,0,0,0,0,0,0.0438,Medium
50,24,29,4,0.1,1,0,0,0,0,0,0,0.0034,Low
26,2,48,3,0.7,2,0,0,0,0,1,0,0.0146,Medium
54,30,23,2,0.4,1,0,0,0,0,0,0,0.0174,Low
28,3,84,4,0.2,1,0,0,0,0,1,1,0.0024,High
36,10,179,3,6.6,1,0,1,0,0,1,0,0.0369,Very_High
29,2,30,4,1.5,2,112,0,0,0,0,1,0.05,Low
54,28,93,1,4.9,1,133,0,0,1,1,1,0.0527,High
55,30,39,2,1.9,2,0,0,0,0,0,0,0.0487,Low
